Statistical profiling result from isolate-0x140008000-46289-v8.log, (7037 ticks, 28 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%    0.0%  Function: ^connectionIsStale /Users/alexsandr/Downloads/blog-app_2/api/node_modules/mongodb/lib/cmap/connection_pool.js:377:27
      1    0.0%    0.0%  Function: ^close /Users/alexsandr/Downloads/blog-app_2/api/node_modules/mongodb/lib/cursor.js:926:8
      1    0.0%    0.0%  Function: ^cloneObject /Users/alexsandr/Downloads/blog-app_2/api/node_modules/mquery/lib/utils.js:66:43
      1    0.0%    0.0%  Function: ^checkType /Users/alexsandr/Downloads/blog-app_2/api/node_modules/body-parser/lib/types/json.js:244:29
      1    0.0%    0.0%  Function: ^checkOut /Users/alexsandr/Downloads/blog-app_2/api/node_modules/mongodb/lib/cmap/connection_pool.js:214:11
      1    0.0%    0.0%  Function: ^checkListener node:events:269:23
      1    0.0%    0.0%  Function: ^checkInvalidHeaderChar node:_http_common:223:32
      1    0.0%    0.0%  Function: ^checkError node:internal/streams/destroy:23:20
      1    0.0%    0.0%  Function: ^castString /Users/alexsandr/Downloads/blog-app_2/api/node_modules/mongoose/lib/cast/string.js:16:37
      1    0.0%    0.0%  Function: ^castNumber /Users/alexsandr/Downloads/blog-app_2/api/node_modules/mongoose/lib/cast/number.js:16:37
      1    0.0%    0.0%  Function: ^castDate /Users/alexsandr/Downloads/blog-app_2/api/node_modules/mongoose/lib/cast/date.js:5:35
      1    0.0%    0.0%  Function: ^callbackWithRetry /Users/alexsandr/Downloads/blog-app_2/api/node_modules/mongodb/lib/operations/execute_operation.js:110:29
      1    0.0%    0.0%  Function: ^callMiddlewareFunction /Users/alexsandr/Downloads/blog-app_2/api/node_modules/kareem/index.js:480:32
      1    0.0%    0.0%  Function: ^calculateDurationInMs /Users/alexsandr/Downloads/blog-app_2/api/node_modules/mongodb/lib/utils.js:715:31
      1    0.0%    0.0%  Function: ^assignSocket node:_http_server:282:62
      1    0.0%    0.0%  Function: ^applySchemaTypeTransforms /Users/alexsandr/Downloads/blog-app_2/api/node_modules/mongoose/lib/document.js:3734:35
      1    0.0%    0.0%  Function: ^append node:internal/linkedlist:30:16
      1    0.0%    0.0%  Function: ^append /Users/alexsandr/Downloads/blog-app_2/api/node_modules/vary/index.js:38:17
      1    0.0%    0.0%  Function: ^app.<computed> /Users/alexsandr/Downloads/blog-app_2/api/node_modules/express/lib/application.js:490:25
      1    0.0%    0.0%  Function: ^app /Users/alexsandr/Downloads/blog-app_2/api/node_modules/express/lib/express.js:38:21
      1    0.0%    0.0%  Function: ^afterWrite node:internal/streams/writable:490:20
      1    0.0%    0.0%  Function: ^adjustOffset node:buffer:1144:22
      1    0.0%    0.0%  Function: ^addQuotes node:internal/util/inspect:478:19
      1    0.0%    0.0%  Function: ^addListener node:events:608:58
      1    0.0%    0.0%  Function: ^_write node:internal/streams/writable:286:16
      1    0.0%    0.0%  Function: ^_read node:_http_incoming:205:49
      1    0.0%    0.0%  Function: ^_initializeCursor /Users/alexsandr/Downloads/blog-app_2/api/node_modules/mongodb/lib/cursor.js:172:20
      1    0.0%    0.0%  Function: ^_getPathsToValidate /Users/alexsandr/Downloads/blog-app_2/api/node_modules/mongoose/lib/document.js:2320:29
